Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0.01,0.005
0.02,0.01,0.005
0.04,0.01,0.005
0.06,0.01,0.005
0.08,0.01,0
0.1,0.01,0.005
0.12,0.01,0.005
0.14,-0.015,0.005
0.16,0.01,0.005
0.18,0.01,0.005
0.2,0.01,0.005
0.22,0.01,0
0.24,0.01,0.005
0.26,0.01,0
0.28,0.01,0.005
0.3,0.01,0.005
0.32,0.01,0.005
0.34,0.01,0.005
0.36,0.01,0.005
0.38,0.01,0.005
0.4,0.01,0.005
0.42,0.01,0
0.44,0.01,0.005
0.46,0.01,0.005
0.48,0.01,0
0.5,0.01,0.005
0.52,0.01,0
0.54,0.01,0.005
0.56,0.01,0.005
0.58,0.01,0.005
0.6,0.01,0.005
0.62,0.01,0.005
0.64,0.01,0
0.66,0.015,0.005
0.68,0.015,0.005
0.7,0.01,0
0.72,0.015,0
0.74,0.015,0.005
0.76,0.015,0.005
0.78,0.01,0.005
0.8,0.015,0.005
0.82,0.015,0.005
0.84,0.015,0.005
0.86,0.01,0.005
0.88,0.01,0.005
0.9,0.015,0.005
0.92,0.01,0.005
0.94,0.015,0.005
0.96,0.01,0.005
0.98,0.02,0.01
1,0.105,0.045
1.02,0.06,0.065
1.04,0.045,0.08
1.06,0.05,0.095
1.08,0.04,0.095
1.1,0.07,0.115
1.12,0.08,0.125
1.14,0.095,0.135
1.16,0.115,0.15
1.18,0.13,0.165
1.2,0.175,0.18
1.22,0.205,0.195
1.24,0.26,0.215
1.26,0.25,0.225
1.28,0.25,0.23
1.3,0.305,0.25
1.32,0.33,0.26
1.34,0.24,0.275
1.36,0.225,0.29
1.38,0.165,0.31
1.4,0.185,0.32
1.42,0.19,0.325
1.44,0.175,0.34
1.46,0.165,0.36
1.48,0.125,0.37
1.5,0.12,0.38
1.52,0.1,0.39
1.54,0.135,0.405
1.56,0.08,0.41
1.58,0.07,0.415
1.6,0.105,0.43
1.62,0.08,0.445
1.64,0.07,0.45
1.66,0.065,0.46
1.68,0.065,0.465
1.7,0.065,0.475
1.72,0.07,0.48
1.74,0.07,0.49
1.76,0.11,0.505
1.78,0.21,0.54
1.8,0.21,0.55
1.82,0.23,0.56
1.84,0.305,0.57
1.86,0.385,0.585
1.88,0.425,0.595
1.9,0.525,0.61
1.92,0.68,0.63
1.94,0.775,0.64
1.96,0.83,0.645
1.98,0.985,0.665
2,1.065,0.67
2.02,1.18,0.685
2.04,1.24,0.695
2.06,1.26,0.705
2.08,1.225,0.725
2.1,1.085,0.735
2.12,0.965,0.745
2.14,0.82,0.76
2.16,0.615,0.77
2.18,0.415,0.79
2.2,0.34,0.79
2.22,0.315,0.8
2.24,0.28,0.805
2.26,0.255,0.825
2.28,0.21,0.825
2.3,0.18,0.83
2.32,0.17,0.835
2.34,0.175,0.84
2.36,0.175,0.855
2.38,0.15,0.87
2.4,0.12,0.875
2.42,0.105,0.885
2.44,0.12,0.89
2.46,0.11,0.9
2.48,0.1,0.915
2.5,0.155,0.94
2.52,0.17,0.965
2.54,0.215,0.98
2.56,0.195,0.98
2.58,0.225,0.985
2.6,0.295,0.995
2.62,0.455,1.02
2.64,0.65,1.04
2.66,0.71,1.04
2.68,0.8,1.05
2.7,1.045,1.07
2.72,1.265,1.085
2.74,1.54,1.105
2.76,1.94,1.12
2.78,2.17,1.13
2.8,2.36,1.145
2.82,2.675,1.16
2.84,2.875,1.18
2.86,2.92,1.195
2.88,2.635,1.21
2.9,2.29,1.22
2.92,1.96,1.235
2.94,1.545,1.25
2.96,1.1,1.26
2.98,0.89,1.28
3,0.725,1.275
3.02,0.705,1.28
3.04,0.625,1.285
3.06,0.57,1.29
3.08,0.47,1.305
3.1,0.415,1.305
3.12,0.365,1.325
3.14,0.29,1.35
3.16,0.215,1.375
3.18,0.165,1.395
3.2,0.155,1.405
3.22,0.145,1.41
3.24,0.175,1.425
3.26,0.185,1.43
3.28,0.215,1.44
3.3,0.28,1.45
3.32,0.45,1.475
3.34,0.625,1.485
3.36,0.755,1.495
3.38,0.995,1.515
3.4,1.22,1.525
3.42,1.665,1.55
3.44,2.135,1.57
3.46,2.72,1.585
3.48,3,1.595
3.5,3.205,1.6
3.52,3.535,1.61
3.54,3.92,1.62
3.56,4.28,1.635
3.58,4.735,1.655
3.6,4.96,1.67
3.62,4.935,1.675
3.64,4.68,1.695
3.66,4.145,1.705
3.68,3.655,1.715
3.7,3.275,1.725
3.72,3.025,1.725
3.74,2.78,1.74
3.76,2.095,1.75
3.78,1.8,1.76
3.8,1.435,1.775
3.82,1.045,1.785
3.84,0.73,1.805
3.86,0.585,1.83
3.88,0.425,1.84
3.9,0.345,1.85
3.92,0.305,1.86
3.94,0.295,1.885
3.96,0.26,1.895
3.98,0.38,1.925
4,0.415,1.93
4.02,0.46,1.935
4.04,0.55,1.945
4.06,0.815,1.955
4.08,0.805,1.96
4.1,0.85,1.97
4.12,1.45,1.995
4.14,2.2,2.02
4.16,2.54,2.03
4.18,2.805,2.035
4.2,3.325,2.05
4.22,3.805,2.065
4.24,4.23,2.075
4.26,5.025,2.09
4.28,6.37,2.12
4.3,7.265,2.135
4.32,7.59,2.145
4.34,7.77,2.155
4.36,7.775,2.165
4.38,7.325,2.19
4.4,6.695,2.2
4.42,6.015,2.21
4.44,5.085,2.225
4.46,4.37,2.235
4.48,3.855,2.245
4.5,3.005,2.265
4.52,2.135,2.285
4.54,1.725,2.295
4.56,1.385,2.315
4.58,1.015,2.33
4.6,0.865,2.335
4.62,0.83,2.35
4.64,0.67,2.36
4.66,0.625,2.39
4.68,0.77,2.415
4.7,1.02,2.43
4.72,1.15,2.435
4.74,1.44,2.45
4.76,1.825,2.46
4.78,2.48,2.475
4.8,3.645,2.495
4.82,4.665,2.51
4.84,5.625,2.525
4.86,6.75,2.53
4.88,7.715,2.54
4.9,8.63,2.54
4.92,10.24,2.555
4.94,10.24,2.575
4.96,10.24,2.595
4.98,10.24,2.6
5,10.24,2.605
5.02,10.24,2.61
5.04,10.24,2.63
5.06,10.24,2.635
5.08,10.24,2.655
5.1,10.24,2.665
