vout,vin,div,log,freq,logfreq
21.199999999999999,2.1200000000000001,10,20,0.10000000000000001,-0.99999999999999978
21.600000000000001,2.1200000000000001,10.188679245283019,20.162357804443587,1,0
21.600000000000001,2.1200000000000001,10.188679245283019,20.162357804443587,10,1
3.2799999999999998,2.1200000000000001,1.5471698113207546,3.7907596556585519,100,2
0.35999999999999999,2.1200000000000001,0.16981132075471697,-15.400667203229281,1000,2.9999999999999996
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
